classe_obf	typedef_index	nom_clair	score	methode	statut	note
		Com.Ankama.Dofus.Server.Game.Protocol.Common.PartyEntity			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Common.PlayerSearch			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Common.PrismCristal			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Common.PrismInformation			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Common.RankInformation			À_CLASSER	354 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Common.ShortcutSpell			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Common.SocialApplicationInformation			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Common.SocialFightInformation			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Common.SubEntityInformation			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Common.TaxCollectorComplementaryInformation			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Config.GuildConfiguration			À_CLASSER	354 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Connection.PongEvent			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Contact.AcquaintanceInformation			À_CLASSER	354 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Contact.AddContactFailureEvent			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Contact.BlockEvent			À_CLASSER	354 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Contact.BlockListRequest			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Contact.ContactInformation			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Contact.ContactWarnOnPermanentDeathSetRequest			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Contact.FriendAddRequest			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Contact.FriendInformation			À_CLASSER	354 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Contact.FriendListEvent			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Contact.FriendSetStatusShareRequest			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Contact.IgnoreEvent			À_CLASSER	354 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
