nom_message_clair	nom_complet	opcode_ou_typeurl	direction	champs	fichier:ligne
	hne	hne		1:repeated int32:ehpg	refs/dofus-deobfs/protos/filtered/hne.proto:3
	hnf	hnf		1:hne:ehpk;2:bool:ehpl	refs/dofus-deobfs/protos/filtered/hnf.proto:4
	hng	hng			refs/dofus-deobfs/protos/filtered/hng.proto:4
	hnm	hnm		1:hni:ehqd;2:hnj:ehqe;3:hnk:ehqf	refs/dofus-deobfs/protos/filtered/hnm.proto:3
	hnm+hni	.hni			refs/dofus-deobfs/protos/filtered/hnm.proto:9
	hnm+hnj	.hnj			refs/dofus-deobfs/protos/filtered/hnm.proto:11
	hnm+hnk	.hnk		1:string:ehpz	refs/dofus-deobfs/protos/filtered/hnm.proto:13
	hnn	hnn		1:string:ehqk;2:int32:ehql;3:hnm:ehqm	refs/dofus-deobfs/protos/filtered/hnn.proto:4
	hnr	hnr		1:hnp:ehqu;2:Error:ehqv	refs/dofus-deobfs/protos/filtered/hnr.proto:4
	hnr+hnp	.hnp		1:hmw:ehqq	refs/dofus-deobfs/protos/filtered/hnr.proto:9
	hns	hns		1:string:ehrb;2:int32:ehrc;3:hnm:ehrd	refs/dofus-deobfs/protos/filtered/hns.proto:4
	hnw	hnw		1:hnu:ehrl;2:Error:ehrm	refs/dofus-deobfs/protos/filtered/hnw.proto:4
	hnw+hnu	.hnu		1:hmx:ehrh	refs/dofus-deobfs/protos/filtered/hnw.proto:9
	hnx	hnx		1:string:ehrs;2:hnm:ehrt	refs/dofus-deobfs/protos/filtered/hnx.proto:4
	hny	hny		1:bool:ehrx;2:hmw:ehry	refs/dofus-deobfs/protos/filtered/hny.proto:4
	hnz	hnz		1:string:ehsc;2:hnm:ehsd	refs/dofus-deobfs/protos/filtered/hnz.proto:4
	hoa	hoa		1:bool:ehsh;2:hmx:ehsi	refs/dofus-deobfs/protos/filtered/hoa.proto:4
	hob	hob		1:jde:ehsm;2:string:ehsn	refs/dofus-deobfs/protos/filtered/hob.proto:4
	hoc	hoc		1:bool:ehsr	refs/dofus-deobfs/protos/filtered/hoc.proto:3
	hod	hod		1:string:ehsv	refs/dofus-deobfs/protos/filtered/hod.proto:3
	hoe	hoe		1:bool:ehsz;2:hmw:ehta	refs/dofus-deobfs/protos/filtered/hoe.proto:4
	hof	hof		1:string:ehte	refs/dofus-deobfs/protos/filtered/hof.proto:3
	hog	hog		1:bool:ehti;2:hmx:ehtj	refs/dofus-deobfs/protos/filtered/hog.proto:4
	hoh	hoh		1:string:ehtn;2:jde:ehto	refs/dofus-deobfs/protos/filtered/hoh.proto:4
	hoi	hoi		1:bool:ehts	refs/dofus-deobfs/protos/filtered/hoi.proto:3
	hoj	hoj		1:string:ehtw;2:jde:ehtx	refs/dofus-deobfs/protos/filtered/hoj.proto:4
	hoo	hoo		1:hol:ehuh;2:hom:ehuj	refs/dofus-deobfs/protos/filtered/hoo.proto:3
	hoo+hom	.hom		1:repeated int32:ehub;2:int32:ehuc	refs/dofus-deobfs/protos/filtered/hoo.proto:17
	hor	hor		1:string:ehuo;2:hop:ehup;3:hng:ehuq	refs/dofus-deobfs/protos/filtered/hor.proto:4
	hos	hos		1:bool:ehuu	refs/dofus-deobfs/protos/filtered/hos.proto:3
	hot	hot		1:string:ehuy	refs/dofus-deobfs/protos/filtered/hot.proto:3
	hou	hou		1:bool:ehvd;2:hnb:ehve	refs/dofus-deobfs/protos/filtered/hou.proto:4
	hpb	hpb		1:string:ehvx;2:how:ehvy;3:hox:ehvz;4:hoy:ehwa;5:hoz:ehwb	refs/dofus-deobfs/protos/filtered/hpb.proto:3
	hpb+how	.how		1:int32:ehvi;2:int32:ehvj	refs/dofus-deobfs/protos/filtered/hpb.proto:11
	hpb+hox	.hox		1:int32:ehvn	refs/dofus-deobfs/protos/filtered/hpb.proto:15
