nom_message_clair	nom_complet	opcode_ou_typeurl	direction	champs	fichier:ligne
QuestValidatedEvent	QuestValidatedEvent	hlv	S2C	1:int:eaxs	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hlv.cs:10
PrismAttackedEvent	PrismAttackedEvent	hlx	S2C	1:PrismLocalizedInformation:eaxx	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hlx.cs:10
PrismExchangeRequest	PrismExchangeRequest	hly	C2S		refs/otomai/libs/Bubble.Shared/Protocol/Game/Hly.cs:10
PrismRecycleRequest	PrismRecycleRequest	hlz	C2S		refs/otomai/libs/Bubble.Shared/Protocol/Game/Hlz.cs:10
PrismListEvent	PrismListEvent	hma	S2C	1:Dictionary<long, string>:eayh;2:List<PrismLocalizedInformation>:eayi	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hma.cs:10
PrismAttackRequest	PrismAttackRequest	hmb	C2S		refs/otomai/libs/Bubble.Shared/Protocol/Game/Hmb.cs:10
PrismAddOrUpdateEvent	PrismAddOrUpdateEvent	hmc	S2C	1:PrismLocalizedInformation:eayp	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hmc.cs:10
PrismTeleportationRequest	PrismTeleportationRequest	hmd	C2S		refs/otomai/libs/Bubble.Shared/Protocol/Game/Hmd.cs:10
PrismRemoveEvent	PrismRemoveEvent	hme	S2C	1:int:eayw	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hme.cs:10
PrismAttackResultEvent	PrismAttackResultEvent	hmh	S2C	1:Hmf:eaza;2:long:eazb;3:PrismLocalizedInformation:eazd	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hmh.cs:10
PresetSetFavoriteRequest	PresetSetFavoriteRequest	hmj	C2S	1:bool:eazi;2:Jdf:eazj;3:string:eazk	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hmj.cs:10
PresetDeleteResponse	PresetDeleteResponse	hmk	S2C	1:bool:eazo;2:bool:eazp	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hmk.cs:10
CharacterPresetCurrentStateResponse	CharacterPresetCurrentStateResponse	hml	S2C	1:CharacterPresetInfo:eazt	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hml.cs:10
