type_nom	protocol_id	fichier:ligne	nb_champs	champs	parent	ordre_serialisation	emu	version
InteractiveElement	80	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/interactive/InteractiveElement.as:10	5	elementId:uint;elementTypeId:int;enabledSkills:Vector.<InteractiveElementSkill>;disabledSkills:Vector.<InteractiveElementSkill>;onCurrentMap:Boolean		elementId:writeInt;elementTypeId:writeInt;enabledSkills#len:writeShort;enabledSkills[]#typeId:writeShort;enabledSkills[]:serialize;disabledSkills#len:writeShort;disabledSkills[]#typeId:writeShort;disabledSkills[]:serialize;onCurrentMap:writeBoolean	client-as3	242
InteractiveElementNamedSkill	220	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/interactive/InteractiveElementNamedSkill.as:9	1	nameId:uint	InteractiveElementSkill	super:InteractiveElementSkill;nameId:writeVarInt	client-as3	242
InteractiveElementSkill	219	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/interactive/InteractiveElementSkill.as:9	2	skillId:uint;skillInstanceUid:uint		skillId:writeVarInt;skillInstanceUid:writeInt	client-as3	242
InteractiveElementWithAgeBonus	398	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/interactive/InteractiveElementWithAgeBonus.as:9	1	ageBonus:int	InteractiveElement	super:InteractiveElement;ageBonus:writeShort	client-as3	242
Item	7	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/data/items/Item.as:8	0				client-as3	242
ItemDurability	168	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/mount/ItemDurability.as:9	2	durability:int;durabilityMax:int		durability:writeShort;durabilityMax:writeShort	client-as3	242
JobBookSubscription	500	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/context/roleplay/job/JobBookSubscription.as:8	2	jobId:uint;subscribed:Boolean		jobId:writeByte;subscribed:writeBoolean	client-as3	242
JobCrafterDirectoryEntryJobInfo	195	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/context/roleplay/job/JobCrafterDirectoryEntryJobInfo.as:8	4	jobId:uint;jobLevel:uint;free:Boolean;minLevel:uint		jobId:writeByte;jobLevel:writeByte;free:writeBoolean;minLevel:writeByte	client-as3	242
JobCrafterDirectoryEntryPlayerInfo	194	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/context/roleplay/job/JobCrafterDirectoryEntryPlayerInfo.as:11	11	playerId:Number;playerName:String;alignmentSide:int;breed:int;sex:Boolean;isInWorkshop:Boolean;worldX:int;worldY:int;mapId:int;subAreaId:uint;status:PlayerStatus		playerId:writeVarLong;playerName:writeUTF;alignmentSide:writeByte;breed:writeByte;sex:writeBoolean;isInWorkshop:writeBoolean;worldX:writeShort;worldY:writeShort;mapId:writeInt;subAreaId:writeVarShort;#typeId:writeShort;status:serialize	client-as3	242
JobCrafterDirectoryListEntry	196	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/context/roleplay/job/JobCrafterDirectoryListEntry.as:8	2	playerInfo:JobCrafterDirectoryEntryPlayerInfo;jobInfo:JobCrafterDirectoryEntryJobInfo		playerInfo:asJobCrafterDirectoryEntryPlayerInfo;jobInfo:asJobCrafterDirectoryEntryJobInfo	client-as3	242
