nature	nom_a	nom_b	id_a	id_b	detail	build_a	build_b
RETIRE	InventoryPresetItemUpdateRequestMessage		6210			242	273
RETIRE	InventoryPresetSaveCustomMessage		6329			242	273
RETIRE	InventoryPresetSaveMessage		6165			242	273
RETIRE	InventoryPresetSaveResultMessage		6170			242	273
RETIRE	InventoryPresetUpdateMessage		6171			242	273
RETIRE	InventoryPresetUseMessage		6167			242	273
RETIRE	InventoryPresetUseResultMessage		6163			242	273
RETIRE	KrosmasterInventoryErrorMessage		6343		ambigu	242	273
RETIRE	KrosmasterInventoryMessage		6350			242	273
RETIRE	KrosmasterInventoryRequestMessage		6344			242	273
RETIRE	KrosmasterPlayingStatusMessage		6347			242	273
RETIRE	KrosmasterTransferMessage		6348			242	273
RETIRE	KrosmasterTransferRequestMessage		6349			242	273
RETIRE	MailStatusMessage		6275			242	273
RETIRE	MapNpcsQuestStatusUpdateMessage		5642			242	273
RETIRE	NewMailMessage		6292			242	273
RETIRE	PartInfoMessage		1508			242	273
RETIRE	PartsListMessage		1502			242	273
RETIRE	PartyMemberInFightMessage		6342			242	273
RETIRE	PrismFightAddedMessage		6452			242	273
RETIRE	PrismFightAttackerAddMessage		5893			242	273
RETIRE	PrismFightAttackerRemoveMessage		5897			242	273
RETIRE	PrismFightDefenderAddMessage		5895			242	273
RETIRE	PrismFightDefenderLeaveMessage		5892			242	273
RETIRE	PrismFightJoinLeaveRequestMessage		5843			242	273
RETIRE	PrismFightRemovedMessage		6453		ambigu	242	273
RETIRE	PrismFightStateUpdateMessage		6040			242	273
RETIRE	PrismFightSwapRequestMessage		5901			242	273
RETIRE	PrismInfoCloseMessage		5853			242	273
RETIRE	PrismInfoInValidMessage		5859		ambigu	242	273
RETIRE	PrismInfoJoinLeaveRequestMessage		5844			242	273
RETIRE	PrismModuleExchangeRequestMessage		6531			242	273
RETIRE	PrismSetSabotagedRefusedMessage		6466			242	273
RETIRE	PrismSetSabotagedRequestMessage		6468		ambigu	242	273
RETIRE	PrismSettingsErrorMessage		6442			242	273
RETIRE	PrismSettingsRequestMessage		6437			242	273
RETIRE	PrismUseRequestMessage		6041			242	273
RETIRE	PrismsInfoValidMessage		6451			242	273
RETIRE	PrismsListRegisterMessage		6441			242	273
RETIRE	PrismsListUpdateMessage		6438			242	273
RETIRE	RoomAvailableUpdateMessage		6630			242	273
RETIRE	SpellItemBoostMessage		6011			242	273
RETIRE	SpellModifyFailureMessage		6653			242	273
RETIRE	SpellModifyRequestMessage		6655			242	273
RETIRE	SpellModifySuccessMessage		6654			242	273
RETIRE	StartupActionAddMessage		6538			242	273
RETIRE	StartupActionsAllAttributionMessage		6537		ambigu	242	273
RETIRE	StartupActionsExecuteMessage		1302			242	273
RETIRE	StartupActionsListMessage		1301			242	273
RETIRE	SubscriptionUpdateMessage		6616			242	273
RETIRE	TaxCollectorListMessage		5930			242	273
RETIRE	TaxCollectorMovementAddMessage		5917			242	273
RETIRE	TaxCollectorMovementMessage		5633			242	273
RETIRE	TaxCollectorMovementRemoveMessage		5915			242	273
RETIRE	TeleportDestinationsListMessage		5960			242	273
RETIRE	TreasureHuntRequestMessage		6488			242	273
RETIRE	URLOpenMessage		6266			242	273
RETIRE	UpdateMountBoostMessage		6179			242	273
RETIRE	ZaapListMessage		1604			242	273
RENOMME	ExchangeHandleMountsStableMessage	ExchangeHandleMountsMessage	6562	3319	structure identique	242	273
RENOMME	PartyCompanionUpdateLightMessage	PartyEntityUpdateLightMessage	6472	2046	structure identique	242	273
RENOMME	StartupActionFinishedMessage	GameActionItemConsumedMessage	1304	5525	structure identique	242	273
RENOMME	StartupActionsObjetAttributionMessage	ConsumeGameActionItemMessage	1303	2113	structure identique	242	273
RENUMEROTE	AbstractGameActionFightTargetedAbilityMessage	AbstractGameActionFightTargetedAbilityMessage	6118	5172		242	273
RENUMEROTE	AbstractGameActionMessage	AbstractGameActionMessage	1000	9631		242	273
RENUMEROTE	AbstractGameActionWithAckMessage	AbstractGameActionWithAckMessage	1001	1587		242	273
